continous_index,original_index,zinc_id,smiles,src
154,344,ZINC000000895399,C[C@@H](O)[C@@H](N)C(=O)O,bachem-for-sale.csv
155,345,ZINC000000895446,CC(=O)OC[C@H](N)C(=O)O,bachem-for-sale.csv
156,346,ZINC000000895455,O=C(O)[C@H]1C[C@@H](O)CN1,bachem-for-sale.csv
157,347,ZINC000000895457,O=C(O)[C@H]1C[C@H](O)CN1,bachem-for-sale.csv
158,348,ZINC000000895472,CN[C@@H](CCC(=O)O)C(=O)O,bachem-for-sale.csv
159,349,ZINC000000895514,Cn1cncc1C[C@H](N)C(=O)O,bachem-for-sale.csv
160,350,ZINC000000895967,N[C@@H](C[C@@H](O)C(=O)O)C(=O)O,bachem-for-sale.csv
161,351,ZINC000000896156,CC(C)[C@@H](N)C(=O)O,bachem-for-sale.csv
162,352,ZINC000000901012,CN[C@H](CC(=O)O)C(=O)O,bachem-for-sale.csv
163,354,ZINC000000901329,CC[C@@H](N)C(=O)O,bachem-for-sale.csv
164,355,ZINC000000901351,CC[C@H](N)C(=O)O,bachem-for-sale.csv
165,356,ZINC000000901380,N#CC[C@H](N)C(=O)O,bachem-for-sale.csv
166,357,ZINC000000901468,CN[C@@H](C)C(=O)O,bachem-for-sale.csv
167,358,ZINC000000901639,N[C@@H](C[C@H](O)C(=O)O)C(=O)O,bachem-for-sale.csv
168,359,ZINC000000901700,CN[C@@H](Cc1c[nH]cn1)C(=O)O,bachem-for-sale.csv
169,360,ZINC000000901736,O=C(O)[C@@H]1C[C@H](O)CN1,bachem-for-sale.csv
170,361,ZINC000000901791,O=C(O)[C@@H]1C[C@@H](O)CN1,bachem-for-sale.csv
171,362,ZINC000000967473,O=C(O)[C@@H]1CSCN1,bachem-for-sale.csv
172,363,ZINC000000967474,O=C(O)[C@H]1CSCN1,bachem-for-sale.csv
173,364,ZINC000000968044,Nc1ccc(C[C@H](N)C(=O)O)cc1,bachem-for-sale.csv
174,367,ZINC000001069082,CC[C@]12CCCN3CCc4c(n(c5ccccc45)[C@@](O)(C(=O)OC)C1)[C@@H]32,bachem-for-sale.csv
175,368,ZINC000001081342,CC(C)(C)OC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)O,bachem-for-sale.csv
176,369,ZINC000001081343,CC(C)(C)OC(=O)N1Cc2[nH]c3ccccc3c2C[C@@H]1C(=O)O,bachem-for-sale.csv
177,373,ZINC000001471036,N[C@H](CC(=O)O)c1cccnc1,bachem-for-sale.csv
178,374,ZINC000001471037,N[C@@H](CC(=O)O)c1cccnc1,bachem-for-sale.csv
179,375,ZINC000001482049,N[C@H](C(=O)O)[C@H](O)c1ccc(O)c(O)c1,bachem-for-sale.csv
180,376,ZINC000001482113,N[C@@H](CCC(=O)O)C(=O)O,bachem-for-sale.csv
181,377,ZINC000001529192,CCOC(=O)[C@@H](N)CCCNC(=N)N,bachem-for-sale.csv
182,379,ZINC000001529201,N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,bachem-for-sale.csv
183,381,ZINC000001529294,N[C@@H](CCSSCC[C@H](N)C(=O)O)C(=O)O,bachem-for-sale.csv
184,382,ZINC000001529313,NC(=O)C[C@@H](N)C(=O)O,bachem-for-sale.csv
185,383,ZINC000001529320,N=C(N)NCCCC[C@H](N)C(=O)O,bachem-for-sale.csv
186,384,ZINC000001529321,NCCCC[C@H](N)C(N)=O,bachem-for-sale.csv
187,385,ZINC000001529322,CCCC[C@H](N)C(=O)O,bachem-for-sale.csv
188,387,ZINC000001529368,CC(C)C[C@H](NC(=O)CN)C(=O)O,bachem-for-sale.csv
189,388,ZINC000001529431,NC(=O)NCCCC[C@H](N)C(=O)O,bachem-for-sale.csv
190,389,ZINC000001529433,CC(=O)NCCCC[C@H](N)C(=O)O,bachem-for-sale.csv
191,391,ZINC000001529479,N[C@H](CCl)C(=O)O,bachem-for-sale.csv
192,392,ZINC000001529480,N[C@@H](CCl)C(=O)O,bachem-for-sale.csv
193,393,ZINC000001529483,N[C@H](CF)C(=O)O,bachem-for-sale.csv
194,396,ZINC000001529511,CNCCCC[C@H](N)C(=O)O,bachem-for-sale.csv
195,398,ZINC000001529567,C[S@](=O)CC[C@H](N)C(=O)O,bachem-for-sale.csv
